title,content,author,category,id,created_date,updated_date,created_by_id,created_by,is_sample
"קרב מארון א-ראס (2006)","רקע הכפר מארון א-ראס נמצא בדרום לבנון בסמוך לגבול ישראל-לבנון, מצפון למושב אביבים. הכפר היה למעוז מובהק של ארגון חזבאללה, הן בשל העובדה שהוא ממוקם על אחד ההרים הגבוהים בלבנון מדרום לנהר הליטני (גובהו כ-900 מטרים), והן בשל הקרבה לבינת ג'בייל, עיר בת 30,000 תושבים (ערב מלחמת לבנון השנייה) שהייתה מהמקומות החשובים לחזבאללה בדרום לבנון, ובה היה מוצב פיקוד הדרום של חזבאללה. ב-12 ביולי 2006, בעקבות חטיפתם של שני חיילי מילואים והריגתם של 10 חיילי צה""ל נוספים על ידי ארגון החזבאללה, החליטה ממשלת ישראל לצאת למבצע צבאי נרחב בלבנון, מבצע שהתפתח בהמשך לכדי מלחמת לבנון השנייה. תחילת המלחמה התאפיינה בתקיפות רבות על ידי חיל האוויר הישראלי, תוך הימנעות מפעולה קרקעית נרחבת בלבנון, יחד עם הפעלת צוותים קטנים של יחידות מיוחדות במרחקים קטנים מהגבול. ביום שלישי, 18 ביולי, נשלח צוות מיחידת מגלן למשימת תצפית על רכס בשם רכס שקד, הממוקם מזרחית למארון א-ראס. במהלך הלילה גילה הצוות בקרבת מקום ""שמורת טבע"" של חזבאללה, כינוי למוצב מבוצר שהוטמע באזור מיוער. במהלך יום רביעי, 19 ביולי, קיבל הצוות אישור לסרוק את המוצב. לאחר הסריקה נתקל כוח מגלן בחוליית חזבאללה, ובמהלך הקרב שהתפתח נפצעו 9 חיילים ונהרגו 2. בתגובה לקרב הוחלט בצה""ל על תקיפת מארון א-ראס ובינת ג'בייל. המשימה הוטלה על גדס""ר צנחנים, בפיקוד נמרוד אלוני.[1] הקרב פלס""ר צנחנים הפעולה נועדה להתחיל בלילה שבין 19 ל-20 ביולי. פלוגת הסיור של חטיבת הצנחנים, בליווי שני טנקים מגדוד 82 של חטיבה 7 הייתה אמורה לחצות את הגבול ולתקוף את הכפר. בעקבותיה אמור היה לחצות כוח נוסף של פלוגת ההנדסה של חטיבת הצנחנים. ואולם, כתוצאה מעיכובים בפריצת מעבר בגדר הגבול, נאלצה פלוגת הסיור להתחיל לנוע לבדה לעבר הכפר ללא ליווי. עד שעות הבוקר הצליחו לוחמי הפלס""ר להשתלט על עמדות בכפר, וכוח בפיקודו של מפקד הפלס""ר רב-סרן עמית לידור התמקם בנקודת שיא הגובה של הכפר. בשעות הבוקר של 20 ביולי חצה צמד הטנקים את הגבול. הטנקים הגיעו לפאתי הכפר ואז נקלעו למארב נ""ט. הטנקיסטים ספגו שלושה נפגעים ופונו לאחור על ידי כוח הצנחנים. לאחר הפגיעה בטנקים ביקש מפקד הפלס""ר לשלוח צוות נוסף לבית סמוך לשיא הגובה על-מנת לתגבר את מערך האבטחה בגזרתו. צוות הפלס""ר, שמנה שישה לוחמים ומפקד, נכנס לבית כדי לתגבר את האבטחה במרחב שיא הגובה. הסתבר כי בבית שנתפס חלונות רבים, והכוח חשוף לאש האויב. מפקד הצוות, סגן אליעזר קהן, החליט לעבור אל בית אחר, קרוב, אולם עם יציאתו מן הבית נפתחה עליו אש מאסיבית שכללה טילי נ""ט מכמה מקורות סביב הבית בו שהה. הבית שבו נותרו חמשת לוחמי הצוות נפגע מנ""ט והחל לעלות באש. מפקד הצוות והלוחם שאיתו רצו אל חלקו הדרומי של הבית הנשרף כדי לחבור ללוחמים הלכודים, אך נורתה לעברם שוב אש כבדה. לוחם חזבאללה הגיח וזרק רימון יד על הצמד ממרחק של שני מטרים, אך מפקד הצוות תפס את הרימון וזרק אותו חזרה אל לוחם החזבאללה, שנהרג. מפקד הצוות והלוחם לא הצליחו לשוב אל הבית שבו היו נצורים הלוחמים ולכן חברו לבית שבו התמקם מפקד הפלס""ר. הכוח שהיה עם מפקד הפלס""ר לא ירה לעבר הבית שעלה באש מחשש לפגוע במפקד הצוות ובחייל שעמו, אך עם כניסתם לבית הוסר חשש זה והכוח של מפקד הפלס""ר פתח באש יעילה על עשרות לוחמי חזבאללה שמסביב, ופגע בעשרות מהם. לאחר כ-5 שעות, בחיפוי מן הבית של מפקד הפלס""ר, ממסוקי קרב וארטילריה, חברו חמשת הלוחמים שהיו בבית הבוער אל הבית של מפקד הפלס""ר. במהלך תנועתם אסף אחד הלוחמים מכשיר קשר מגופת לוחם חזבאללה שנהרג בראשית הקרב. האזנה לרשת הקשר של החזבאללה איפשרה איתור חוליות רבות של חזבאללה וביצוע ירי צלפים אל עשרות המחבלים שנלחמו בכפר. זעקות האויב ברשת הקשר הלכו וגברו. בשעות הערב נשמעה בקשר פקודת נסיגה כללית לחיילי החזבאללה מהכפר. הכפר נכבש ללא נפגעים לכוחות הצנחנים.[2] ניתוח מודיעיני בעקבות הקרב העלה כי לוחמי סיירת צנחנים, בסיוע מסוקי קרב וארטילריה, הרגו 26 מחבלי חזבאללה בקרב מרון א-ראס, בהם מפקד בכיר בדרגה המקבילה לסגן-אלוף. אף לוחם של סיירת צנחנים לא נפגע. על חלקה בקרב זכתה סיירת צנחנים בצל""ש יחידתי. בנוסף לעיטור היחידתי, הוענק עיטור העוז ללוחם היחידה, סמל ראשון יוני (בנימין) אסרף,[3] וצל""ש אלוף למפקד צוות ביחידה. יחידת אגוז עקב חוסר מידע, בלבול וחשש בפיקוד החטיבה המרחבית, באוגדה ובפיקוד הצפון הוזעקה יחידת אגוז כדי ""לסייע לסיירת הצנחנים ולהכריע את הקרב"". בשעות הצהריים, לאחר שהצנחנים כבר היו בשליטה בכפר, איגף כוח אגוז את הכפר מכיוון מזרח והגיע אל חלקו הצפוני במטרה להעניק סיוע לכוחות הצנחנים. במהלך ההתקדמות נתקל הכוח ברכב נמלט ובו לוחמי חזבאללה. הכוח פתח באש על הרכב אולם הירי חשף את הכוח, וכעבור מספר דקות, כאשר נערך לטיהור בית סמוך, נורו על הכוח טילי סאגר מבינת ג'בייל ושלושה לוחמים נהרגו: מפקד הפלגה, רב-סרן בנג'י הילמן, הקשר שלו, סמל ראשון לירן סעדיה ונגביסט החוד, סמל ראשון רפנאל מוסקל. אריאל ג'ינו מפקד צוות באגוז נפגע גם הוא בעת פינוי הפצועים אריאל לחם באומץ לב וגם אחרי שנפצע בלסתו עדיין המשיך לפקד על הצוות שלו בתנועות ידיים. לוחמים נוספים נפצעו, ופינויים היה מורכב. במהלך הפינוי נעלם סמל ראשון יהונתן ולסיוק שהיה בין המחלצים. במהלך החיפושים אחר ולסיוק נורו באוויר פצצות תאורה על ידי מחבלי חזבאללה, דבר שהקשה על חשאיות החיפוש. לאחר לילה של חיפושים ללא תוצאות החליט מפקד היחידה דאז, סגן-אלוף מרדכי כהנא להיעזר ביחידה לאיתור נעדרים הצה""לית. ממצאי היחידה לאיתור נעדרים הצביעו על כך שישנה גופת חייל הקבורה מתחת להריסות חומה. במהלך הלילה השני לחיפושים הגיע הכוח שהיה אחראי על חיפוש החייל הנעדר, בפיקוד סגן א', למקום בו איתרה יחידת אית""ן את גופת החייל. הכוח חילץ את גופת החייל מן ההריסות ווידא כי אכן מדובר בולסיוק. לאחר תחקירים שנערכו אודות היעדרותו של יונתן נמצא כי לאחר הפגיעה הראשונית בכוח על ידי טילי הנ""ט הגיע החייל יונתן למקום האירוע וחש לחלץ את הפצועים ואת גופות ההרוגים. תוך כדי הפעולה נפגעה חומה מטיל נ""ט שני שנורה על ידי חזבאללה, ויונתן נקבר תחתיה. בעת כיבוש הכפר נכנס כוח מפלגה ב' של יחידת אגוז לאחד הבתים, וקלע החוד נדב באלוה נכנס ראשון לבית. במהלך הכניסה לבית נתקל נדב בלוחם חזבאללה שהיה מצויד במשקפת, שתצפת על שאר כוחות היחידה בכפר והכווין את אש הנ""ט וירי תלול מסלול נוסף מבינת ג'בייל אל כוחות צה""ל. המחבל ירה על נדב וגרם לו לפצעים אנושים מהם נפטר לאחר מספר דקות. כוח של גדוד 601 של חיל ההנדסה הקרבית הוזעק למקום וסייע בחילוץ הנפגעים. לאחר הקרב יוני אסרף, לוחם מפלס""ר צנחנים, זכה על חלקו בקרב בעיטור העוז,[4] בנוסף לסגן אליעזר קהן מסיירת צנחנים שזכה בצל""ש אלוף.[5] הפלס""ר (סיירת צנחנים) זכתה בצל""ש יחידתי והייתה לאחת משלוש היחידות הבודדות במלחמת לבנון השנייה שזכו בצל""ש שלא על מעשה חילוץ נפגעים (יחד עם גדוד חרב ויחידת מגלן). מבחינת יחידת אגוז זהו אחד הקרבות הקשים ביותר בתולדות היחידה, קרב שבו נהרגו חמישה מלוחמי היחידה ונפצעו עוד אחדים. על חלקם בקרב של לוחמי אגוז קיבל מפקד צוות ביחידה אריאל ג'ינו צל""ש הרמטכ""ל ולוחם נוסף בצל""ש אלוף פיקוד הצפון. אחרי הקרב הגיע לכפר כוח של חיל ההנדסה הקרבית מגדוד 601, במטרה לטהר את הכפר סופית ולהבטיח שלא יהווה איום נוסף על כוחות צה""ל. כוח ההנדסה השתמש בצפע שריון (רקטה שאליה מחוברים מטענים רבי עוצמה, שנועדה במקור לפריצת שדות מוקשים) כדי להחריב את הקסבה של מארון א-ראס. הקרב סימל את המחיר הקשה של פעולה קרקעית שניסו למנוע במהלך כל המלחמה, אך עם זאת גם מסמן את תחילת הפעולה הקרקעית הנקודתית של צה""ל והתחלת כיבוש כפרי ""הקליפה"" (כפרים הממוקמים במרחק של קילומטרים בודדים בגבול ישראל-לבנון ובהם היו ממוקמים מוצבים רבים של ארגון חזבאללה) של דרום לבנון.","קרדיט: ויקיפדיה, ערך קרב מארון א-ראס.","PastBattles","68aac214562a9b7cfb06913d","2025-08-24T07:41:08.792000","2025-08-24T07:41:08.792000","68a1c64e6150fd99ebf18f7b","zvimarmor@gmail.com",""
"רב סרן אופק בכר","אופק גדל והתחנך בראשון לציון ולמד בבית הספר היסודי ""עדיני"". כשהיה בכיתה ד', עברה המשפחה לנס ציונה, ואופק המשיך את לימודיו בבית הספר היסודי ""ראשונים"" ובבית הספר העל-יסודי השש-שנתי ""קריית החינוך על שם גולדה מאיר"". ילד חייכן, שמח ומוכשר, שהצטיין בלימודיו מגיל צעיר. בכיתה י' הצטרף לכיתת ""אמירים"" (מתמטיקה, פיזיקה ותרבות קהילתית) המעודדת מצוינות לימודית, אישית וחברתית. הוא בלט ביכולותיו הרטוריות ובמנהיגותו הטבעית, היה מעורב מאוד בשיעורים וגילה כישורים חברתיים מצוינים. חבריו מספרים שתמיד תמך בילדים שהיו פחות מעורבים חברתית ונחלץ לעזרתם ולהגנתם בכל פעם שנזקקו לכך. במסגרת הלימודים יצר סרט עם חבריו וקיבל עליו שבחים רבים. כשהיה בן חמש-עשרה, החליט שאת שירותו הצבאי יעשה במסגרת יחידה מיוחדת, והחל להתכונן לגיוס. הוא הצטרף לקבוצת אימוני כושר קרבי והשקיע בהם חלק ניכר מזמנו. בהמשך עבר מיונים לסיירות וסיים אותם בהצלחה. ב-18.3.2018 התגייס לצה""ל ושירת ביחידת ""אגוז"" – יחידת הקומנדו של זרוע היבשה. את מסלול ההכשרה סיים בהצלחה רבה, וחבריו מספרים שעל אף הקושי, תמיד ידע להצחיק ולתרום להווי ולהרמת המורל, בעיקר באמצעות יכולות החיקוי המעולות שלו. הוא היה החייל הצעיר ביותר בצוות, אך גם הנחוש והקפדן מכולם. בשלב מסוים של השירות יצא לקורס מ""כים (מפקדי כיתה), בסיומו שימש כמ""כ בצוות ולאחר מכן כסמל מחלקה בצוות אחר. אופק הפגין כישורי פיקוד מעולים, ששילבו בין מקצועיות, הקפדה ודרישות גבוהות לרגישות, הקשבה ודאגה לצרכי החיילים. בכל תפקיד שביצע, בלט הקשר הבינאישי המצוין שידע ליצור עם פקודיו. מהר מאוד, הומלץ לשלוח אותו לקצונה, והוא יצא לקורס קצינים וסיים גם אותו בהצלחה. בתפקידו הראשון כקצין, פיקד על צוות של לוחמי ""אגוז"", תפקיד שרוב הקצינים מבצעים לאחר שצברו קצת יותר ניסיון. תחת פיקודו, הפך ""צוות בכר"" לצוות מקצועי ומוביל שהשתתף במבצעים מיוחדים, ואף זכה ביוני 2021 בתחרות אולימפיאדת מקצועות שנערכה בין כלל הצוותים בחטיבת הקומנדו. באותה השנה, קיבל אופק תעודת הצטיינות ממפקד ""אגוז"" על תרומתו ליחידה. לאחר זמן מה כמפקד צוות, אופק קודם לתפקיד קמ""מ – קצין מבצעים מיוחדים. התפקיד כלל אחריות רבה, עמידה בדרישות מבצעיות ומקצועיות והפגנת יכולות אסטרטגיות וטקטיות. במסגרתו, אופק יזם ותכנן מבצעים רבים וזכה להערכה גדולה. במאי 2022 קיבל תעודת הצטיינות ממפקד החטיבה המרחבית 474 - חטיבת הגולן והחרמון - על תרומתו לביטחון המדינה. עם סיום תפקידו כקמ""מ יצא אופק לחל""ת (חופשה ללא תשלום) של ארבעה חודשים, בהם טייל בדרום אמריקה והתנסה במגוון פעילויות אקסטרים כגון טיפוס הרים, חוויית ""הישרדות"" באמזונס ועוד. כשחזר מהטיול יצא לקורס מ""פ (מפקדי פלוגה), וגם שם בלט ביכולותיו המקצועיות, המבצעיות והפיקודיות, זאת תוך שהוא משמש המוקד בקורס, זה שיודע ללכד ולגבש את כל עמיתיו וגם מצחיק ומשמח אותם ללא הרף. אחד מחבריו לקורס סיפר: ""מיד בפגישה הראשונה עם הצוות אופק נכח וזהר. האופי הדומיננטי, הנחישות, החינניות והעוצמה שהביא איתו כבשו את ליבנו. גם בימים הארוכים שבהם נאלצנו לשבת עד השעות הקטנות של הלילה בתכנון משימה התקפית בתרגיל, אופק היה משקיע עד הפרט האחרון. מגיע ראשון ויוצא אחרון... ""תמיד היה דואג להוציא את כולם מהחדרים כדי שנהנה מזמן איכות של הצוות... היה מצחיק אותנו בחיקויים מדויקים של המפק""צ (מפקד צוות), חברי הצוות והשחקנים מהסדרה שצפינו בה יחד... דאג לשמור על קשר, להתקשר ולשלוח הודעות, תמיד דאג לצוות שלו ולאנשים תחתיו"". אופק אהב טבע, בעלי חיים וטיולים ברחבי הארץ. הוא נהנה לבלות בים, לעשות ספורט, לערוך קומזיצים בשטח, לדוג, לרכוב על סוסים, לצאת לטיולי ג'יפים ולכל פעילות אקטיבית ומאתגרת. הוא שאף להצטיין בכל מה שעשה וברגע שהציב לעצמו מטרה, השקיע בה את כל כולו ולא ויתר. תמיד היה ראשון, בכל תחום בו נגע, אך לא הפסיק להתאמן, לעבוד ולהשקיע על מנת להשתפר. עם בני משפחתו וחבריו הרבים ניהל קשרים קרובים וחמים, תמיד היה נכון לעזור וגרם לכל מי שהיה בקרבתו להרגיש מיוחד, טוב ואהוב. הייתה לו נוכחות שאי אפשר לפספס וכריזמה ייחודית, מלווה בביישנות ובצניעות. הוא אהב את החיים, אהב בילויים עם חברים, היה הרפתקן עם הרבה שמחת חיים, וכל מי שהכיר אותו ידע שאיתו אף פעם לא יהיה משעמם. מכריו ומפקדיו ניבאו לו גדולות וצפו שיגיע רחוק בקריירה הצבאית ובכל תחום אליו יבחר לפנות. בשבת כ""ב בתשרי, שמחת תורה תשפ""ד, 7 באוקטובר 2023, בשעה שש וחצי בבוקר, פתח ארגון הטרור חמאס במתקפת פתע על ישראל. בחסות ירי מסיבי של טילים ורקטות מרצועת עזה לאזורים נרחבים בארץ חדרו אלפי מחבלים – יבשתית, ימית ואווירית, והחלו במתקפה רצחנית על יישובי עוטף עזה ועל כל הנמצאים באזור. בבוקר זה החלה מלחמה. אופק היה אז ממש לקראת סיום קורס מפקדי הפלוגה, ושהה בסוף השבוע בתל אביב בחופשה. כשהחלה המתקפה, מיד לקח את הנשק ואת הציוד ויצא לכיוון הדרום, שם סייע בחילוץ נפגעים ובמתן עזרה ראשונית. בהמשך חבר לכוח ""גבעתי"" ולחם יחד איתם בכפר עזה, עד שנפצע משני קליעים בכתף ופונה לבית החולים ""סורוקה"" בבאר שבע. לאחר שקיבל טיפול ראשוני, הומלץ להעביר אותו להמשך טיפול בבית חולים אחר, אך אופק סירב. מבחינתו, לא יכול להיות שהמדינה במלחמה והוא לא לוקח בה חלק. בעבר, כשנשאל על ידי חברה מה תכליתו, ענה מבלי להסס: ""התכלית שלי היא עם ישראל"", ובהתאם לכך פעל. הוא יצא מבית החולים יום לאחר הפציעה, חבר לכוח של יחידת ""אגוז"" ולחם יחד איתם לטיהור השטח באזור מוצב כיסופים. הוא המשיך להילחם עם היחידה גם במסגרת התמרון הקרקעי ברצועת עזה, ולפני שנכנס לרצועה כתב להוריו: ""אני מאמין מאוד בצדקת הדרך כמו שחינכתם אותי. אני גאה שיש לי הזכות להיות במקום הזה ושזה בדיוק המקום שלי, קדימה, עם הלוחמים, בין הטובים לרעים"". לאחר מספר חודשי לחימה, קיבל את תפקיד מ""פ ההכשרות של לוחמי ""אגוז"", ובמסגרתו הכשיר את לוחמי היחידה הצעירים ללחימה. בטקס הסיום של הקורס, אמר: ""אני באופן אישי לא רואה את האחריות כמשא שצריך לסחוב... להיות לוחם בהיסטוריה של העם היהודי זה להיות אבן בחומה בצורה, חומת המגן של מדינת ישראל, תעודת הביטוח של העם היהודי... מהיום אתם ניצבים כצוותים לוחמים ביחידת 'אגוז'. זכרו את הדגשים שאמרתי לכם, היו צנועים, שמרו על הנורמות המבצעיות, היו מצוינים במה שאתם עושים והיו טובים אחד כלפי השני וכלפי מי שבו תיתקלו בדרך"". בסוף דבריו, ציטט ממילות השיר ""אני נשבע לך"", שכתב אביגדור קהלני, מילים ששיקפו את אמונתו ואת התנהלותו: ""ואני נשבע לך, אעמוד בשערייך/ ואני נשבע לך, אספר בשבחייך/ ואני ניצב בך כסלע בחומותייך/ ואני ניצב בך, ראש למגינייך"". עם סיום הקורס, נכנס לתפקיד מ""פ בסיירת ""גולני"", וגם שם הפך במהירות למפקד נערץ, אהוב על חייליו ועל מפקדיו. כשהחלה המערכה הקרקעית בדרום לבנון, ב-30 בספטמבר 2024, הוביל את חייליו ללחימה בשטח האויב, שם ביצעו מבצעים נועזים ומוצלחים. בין היתר, שבה הכוח לוחמי חיזבאללה בעלי ערך מודיעיני רב, בפעילות מבצעית שעליה זכה אופק להוקרה ממפקדיו. מתעד צבאי שליווה את אופק בפעילות בשטח לבנון סיפר עליו: ""קצין אמיץ ומנהיג אמיתי... תמיד מקצועי, יודע מה הוא עושה, מכווין את הכוח, מנהל את מפקדי הצוותים, דורש מהם הרבה, ולצד זאת ביישן, לא כל כך רוצה להצטלם... אדם שאתה לא יכול שלא ישפיע עליך... יכולת לראות שעם כמה שהוא צעיר, הוא עוד יהיה מג""ד ומעבר לכך. בחור ברמה. לא היה לו ספק למה הוא שם"". בערב סוכות תשפ""ה, 16.10.2024, פעלה הפלוגה של אופק בכפר הלבנוני עייטה א-שעב. אופק, שהאמין שהמפקד תמיד צריך להיות בראש, הוביל את חייליו בקרב הרואי מול מחבלי חיזבאללה, עד שנורה ונהרג. יחד איתו, נפלו בקרב ארבעה לוחמים נוספים. סרן אופק בכר נפל בקרב ביום י""ד בתשרי תשפ""ה (16.10.2024). בן עשרים וארבע בנופלו. הובא למנוחות בבית העלמין הצבאי בנס ציונה. הותיר אחריו הורים, אח ואחות.","https://www.izkor.gov.il/%D7%90%D7%95%D7%A4%D7%A7%20%D7%91%D7%9B%D7%A8/en_5060e51420741e6208f42baa6fe26eee","FallenSoldiers","68aac214562a9b7cfb06913e","2025-08-24T07:41:08.792000","2025-08-24T07:41:08.792000","68a1c64e6150fd99ebf18f7b","zvimarmor@gmail.com",""
"איגוף","איגוף הוא טקטיקה צבאית במסגרתו כוח צבאי נע סביב האגף של האויב כדי לתקוף אותו שוב מאחוריו. הצורה היעילה ביותר של איגוף היא הלפיתה הכפולה, הכוללת התקפות אגף בו זמנית משני צדדיו של האויב. דוגמה קלאסית לכך היא ניצחונו של חניבעל על הצבא הרומי בקרב קאנאי.

המונח מתייחס בעיקר לקרבות יבשה, אם כי הוא גם בשימוש במסגרת לוחמה ימית. דוגמה לכך היא קרב סלמיס.","","MilitaryConcepts","68aac214562a9b7cfb06913f","2025-08-24T07:41:08.792000","2025-08-24T07:41:08.792000","68a1c64e6150fd99ebf18f7b","zvimarmor@gmail.com",""
"מכתבו של יוני נתניהו","״בעוד שבוע אהיה בן 23. הזמן חולף ביעף, לא כן? שנותיי רובצות עליי במלא כבדן. לא כנטל או כמעמסה, אלא בכל אותם הרגעים הארוכים והקצרים שהרכיבו אותם. מוטלת עליי, עלינו, על הצעירים בישראל, החובה לשמור על שלום המדינה. זוהי אחריות כבדה, שמבגרת אותנו בטרם עת.

כמדומה, שהישראלי הצעיר שייך לגזע מיוחד של אנשים. קשה להסביר זאת, אך אפשר לחוש בכך. כל אותם הטייסים הנפלאים שלנו, כל הצנחנים ואנשי הקומנדו שלנו, הם ישראלים בגילי וצעירים ממני, שגדלו וחונכו בישראל. אנשי מושב וקיבוץ ועיר, שהמאחד אותם הוא למעלה ומעבר להשקפה פוליטית.

מה שמאחד אותם גורם להרגשת אחוה, אחריות הדדית, הכרת ערך האדם וחייו, שאיפה כנה ועזה לשלום, נכונות לעמוד בכל פרץ, ועוד ועוד. בעוד שבוע אהיה בו עשרים ושלוש, ואיני מצטער על מה שעשיתי ושאני עומד לעשות. אני מכיר בצדקת מעשיי. אני מאמין בעצמי, בארצי, ובעתידי. אני גם מאמין במשפחתי. זה הרבה לגבי אדם בגילי, שהספיק להרגיש את עצמו צעיר מאוד וזקן מאוד. בקשר לתקריות האחרונות אני רואה לנחוץ לציין לטובה את העם היהודי היושב בארץ. קור הרוח, חוסר ההיסטריה, השליטה המיידית בכל מצב - ממש מפתיעים. נעדרת כאן לגמרי תכונת ההמון המתפרץ, המאפיינים רגעים קשים. זהו עם מיוחד - וטוב להשתייך לכזה״.","״יוני נתניהו, 17.3.69. מתוך: ״מכתבי יוני״","PhilosophyAndJudaism","68aac214562a9b7cfb069140","2025-08-24T07:41:08.792000","2025-08-24T07:41:08.792000","68a1c64e6150fd99ebf18f7b","zvimarmor@gmail.com",""
"קרב תל סאקי (1973)","רקע
תל סאקי הוא תל געש ברמת הגולן, כ-5 קילומטרים ממזרח למושב רמת מגשימים. במלחמת יום הכיפורים, שימש התל כמוצב תצפית קדמי של צה""ל. המוצב אויש על ידי לוחמי נח""ל מוצנח מגדוד 50 ולוחמי שריון מחטיבה 188.

מהלך הקרב
ב-6 באוקטובר 1973, עם פרוץ המלחמה, הותקף המוצב על ידי כוחות סוריים עדיפים בהרבה. הכוח הקטן במוצב, בפיקודו של סגן מנחם אנסבכר, ניהל קרב הגנה עיקש במשך שלושה ימים, תוך שהוא מוקף וללא כל סיכוי לחילוץ. הלוחמים הדפו התקפות חוזרות ונשנות של חי""ר ושריון סוריים, תוך שהם סופגים אבדות כבדות. ביום השלישי ללחימה, לאחר שאזלה התחמושת והמים, החליט הכוח לנסות ולפרוץ מהמוצב. רבים מהלוחמים נהרגו או נפלו בשבי במהלך ניסיון הפריצה.

לאחר הקרב
סיפור הגבורה של לוחמי תל סאקי הפך לאחד מסמלי העמידה וההקרבה במלחמת יום הכיפורים. הלוחמים, שהיו מנותקים ומבודדים, לחמו עד הכדור האחרון והוכיחו רוח לחימה יוצאת דופן. 32 לוחמים נפלו בקרב על תל סאקי. סיפורם הונצח בספרים ובסדרת הטלוויזיה ""שעת נעילה"".","מבוסס על מקורות היסטוריים","PastBattles","68aac32935402563e7b9cd9a","2025-08-24T07:45:45.117000","2025-08-24T07:45:45.117000","68a1c64e6150fd99ebf18f7b","zvimarmor@gmail.com",""
"רב-סרן רועי קליין ז""ל","רועי קליין נולד וגדל ברעננה. הוא התגייס לחטיבת הצנחנים ובחר לשרת בגדוד 51 של חטיבת גולני. הוא התקדם בסולם הדרגות ושימש כמפקד פלוגה וכסגן מפקד הגדוד.

במלחמת לבנון השנייה, במהלך הקרב על בינת ג'בייל, שימש רועי כסמג""ד גדוד 51. במהלך הקרב, נזרק רימון יד לעבר הכוח שעליו פיקד. רועי, שהבין את הסכנה המיידית לחייליו, זינק על הרימון, עצר את הפיצוץ בגופו וצעק ""שמע ישראל"". במעשה הקרבה עילאי זה, הציל את חיי חייליו ונפל בקרב.

על מעשהו, הוענק לו לאחר מותו עיטור העוז, העיטור השני בחשיבותו בצה""ל. סיפור גבורתו הפך לסמל של מנהיגות, רעות והקרבה אישית למען הכלל.","מבוסס על סיפור גבורתו","FallenSoldiers","68aac32935402563e7b9cd9b","2025-08-24T07:45:45.117000","2025-08-24T07:45:45.117000","68a1c64e6150fd99ebf18f7b","zvimarmor@gmail.com",""
"קרב משולב","קרב משולב (Combined Arms) הוא גישה טקטית המשלבת זרועות שונות של הצבא (כגון חי""ר, שריון, ארטילריה, הנדסה וחיל אוויר) באופן מתואם, כדי להשיג אפקט סינרגטי שעולה על סך היכולות של כל זרוע בנפרד. המטרה היא להציב בפני האויב דילמות מורכבות, שבהן כל פתרון הגנתי נגד איום אחד חושף אותו לאיום אחר.

לדוגמה, הארטילריה יכולה לרכך את עמדות האויב ולאלץ אותו לתפוס מחסה, ובכך לאפשר לשריון להתקדם. התקדמות השריון מאיימת על כוחות הנ""ט של האויב, מה שמאפשר לכוחות החי""ר לטהר את השטח בבטחה. כל זאת תחת חיפוי אווירי המספק מודיעין ותקיפות מדויקות. השילוב המוצלח בין הזרועות הוא מפתח להצלחה בקרב המודרני.","","MilitaryConcepts","68aac32935402563e7b9cd9c","2025-08-24T07:45:45.117000","2025-08-24T07:45:45.117000","68a1c64e6150fd99ebf18f7b","zvimarmor@gmail.com",""
"משנתו של הרב קוק על הצבא","הרב אברהם יצחק הכהן קוק, מההוגים המרכזיים של הציונות הדתית, ראה בהקמת כוח מגן עברי חלק מהותי מתהליך הגאולה של עם ישראל. הוא לא ראה בצבא רק צורך ביטחוני, אלא כלי לביטוי הגבורה הלאומית והמידות הטובות של האומה.

בכתביו, הדגיש הרב קוק כי הצבא צריך להיות מבוסס על ערכי מוסר וקדושה. הוא האמין שחייל יהודי הלוחם על הגנת עמו וארצו מקיים מצווה גדולה. משפט מפורסם המיוחס לו בהקשר זה הוא: ""כשחרב חדה מונחת על צווארו של אדם, אפילו להתפלל אסור לו. חייבים קודם להסיר את החרב, ורק אחר כך להתייחד עם קוננו"". בכך, ביטא את החשיבות העליונה של הביטחון הפיזי כבסיס לקיום הרוחני של העם.","מבוסס על כתבי הראי""ה קוק","PhilosophyAndJudaism","68aac32935402563e7b9cd9d","2025-08-24T07:45:45.117000","2025-08-24T07:45:45.117000","68a1c64e6150fd99ebf18f7b","zvimarmor@gmail.com",""
"מלחמת העצמאות","צבא הג'יהאד הקדוש עבד אל־קאדר אל־חוסייני צבא ההצלה פאוזי קאוקג'י אחמד עבד אל-עזיז ממלכת מצרים אחמד עלי אל־מאוואווי ירדן ג'ון באגוט גלאב עיראק 1924 נור א־דין מחמוד לבנון פואד שהאב","Wikipedia contributors","PastBattles","68acd1c1ee92b272e6bdb98e","2025-08-25T21:12:33.946000","2025-08-25T21:12:33.946000","68a1c64e6150fd99ebf18f7b","zvimarmor@gmail.com",""
"מלחמת ששת הימים","הרפובליקה הערבית הסורית סוריהמצרים מצריםירדן ירדן משלחות צבאיות:עיראק 1963עיראקלבנון לבנון ערב הסעודית ערב הסעודית ברית המועצות ברית המועצות","Wikipedia contributors","PastBattles","68acd1c1ee92b272e6bdb98f","2025-08-25T21:12:33.963000","2025-08-25T21:12:33.963000","68a1c64e6150fd99ebf18f7b","zvimarmor@gmail.com",""
